Date / Time,Home team,,,,Away team,Location,Status
340 - 9:00 PM,Reverse HC,,,,Royal deltz,EHLRHC,Incomplete
341 - 9:35 PM,Montrescotia Buffaloes,,,,Minnesota Wild,EHLMSB ,Incomplete
342 - 9:35 PM,Blood Sweat & Beers,,,,Greensboro Hurricanes,EHLBSB,Incomplete
343 - 9:35 PM,Steel City Legion,,,,Canadian Frostbytes,EHLSCL,Incomplete
344 - 9:35 PM,Kitty Slayers,,,,Cooper Gang HC,EHLKIT,Incomplete
345 - 9:35 PM,Sabres On Ice,,,,Hope Skate Park,EHLSOI,Incomplete
346 - 9:35 PM,Pioneers,,,,Stratton Oakmont,EHLPIO,Incomplete
347 - 9:35 PM,High Quality Plague,,,,Cape Cod Rangers,EHLWSS,Incomplete
348 - 9:35 PM,Tombstone,,,,Puckin Around,EHLTBS,Incomplete
349 - 9:35 PM,Reverse HC,,,,Pouch munchers,EHLRHC,Incomplete
350 - 9:35 PM,Royal deltz,,,,MN BLUES,EHLRYD,Incomplete
351 - 10:10 PM,Minnesota Wild,,,,Blood Sweat & Beers,EHLMIN,Incomplete
352 - 10:10 PM,Steel City Legion,,,,Montrescotia Buffaloes,EHLSCL,Incomplete
353 - 10:10 PM,Kitty Slayers,,,,Greensboro Hurricanes,EHLKIT,Incomplete
354 - 10:10 PM,Hope Skate Park,,,,Canadian Frostbytes,EHLHSP,Incomplete
355 - 10:10 PM,Stratton Oakmont,,,,Cooper Gang HC,EHLSTO,Incomplete
356 - 10:10 PM,High Quality Plague,,,,Sabres On Ice,EHLWSS,Incomplete
357 - 10:10 PM,Tombstone,,,,Pioneers,EHLTBS,Incomplete
358 - 10:10 PM,Reverse HC,,,,Cape Cod Rangers,EHLRHC,Incomplete
359 - 10:10 PM,Royal deltz,,,,Puckin Around,EHLRYD,Incomplete
360 - 10:10 PM,MN BLUES,,,,Pouch munchers,EHLMNB,Incomplete
"Sunday May 17, 2026",,,,,,,
10:00 PM,SIGNING/TRADING DEADLINE,,,,,,
10:00 PM,SIGNING/TRADING DEADLINE,,,,,,
10:00 PM,SIGNING/TRADING DEADLINE,,,,,,
"Monday May 18, 2026",,,,,,,
361 - 9:00 PM,Steel City Legion,,,,Minnesota Wild,EHLSCL,Incomplete
